USER_ID,ITEM_ID,CHANNEL,EVENT_NAME,TIMESTAMP,PRODUCT_POSITION,SIZE,TRACK_EVENT_ID,PRICE_INFORMATION
894b854f5c19cc4f7879fc75e0120778f96e2a3c36ed3f1eb6f43e9ac9b59714,color-womens-wool-runners-calm-teal-natural-white,web,product_viewed,2023-02-26T18:48:29.457Z,,5,a0421e490dd42f6f09b4e4932d46f4052aab0f3da9768e86560b391278378dd4,110.00
5e8d8404ff5659d449168d8732ae5eeffb583945960817ce50af73bbf7e52d7a,color-womens-tree-pipers-luna-white,web,product_viewed,2023-05-22T15:04:56.535Z,,5,117ba2c293ab2619d99404407f12bcdc3595608e5f0a58015331a38e4f3224e4,74.00
2df16eda144d4723c76c6de2f72860887aede050dc1a5b38041b50d4fb2271ce,color-womens-tree-skippers-kaikoura-white-white,web,product_viewed,2023-08-09T23:01:33.525Z,,5,066ded7a823c3b4fcf2f4dce77cc14e15c6c55397be4eb054d5ce44575ae6274,100.00
591148317d3bd73cd25207055f253adbaa45a545f817512c4dfc264a7c240c6a,color-mens-tree-runners-marine-blue-white,web,product_viewed,2023-04-14T02:11:22.381Z,,10,2e0277a6083c6a39d1f61765a34fe4a95ba5db71ac07fdc92b544778e54655b5,105.00
358cf60add839d38908fa7876c005ff1bf87b17b00b1c23c3cb2e1a20a279be4,color-mens-tree-runners-mist-white,web,product_viewed,2023-09-14T15:01:48.044Z,,,28e53a824561b04c65eb1dc1ef1b4c5d35dbbc87be908fd86884e20850ae20a7,105.00
63e0a6f42c154972f67f5a3e1633c1ccb92d3a5f88a51bf17e8513a5c5854661,color-trino-tm-tubers-wheat,web,product_viewed,2023-08-30T07:14:50.284Z,,L (W11 / M9-12),79a21270237d5136ede0c59a453f2f5d90d85f78131810c450b3c66052bdf8d1,9.00
f42416ced55547bb4a5ffe6d87fd6790cfbef8b09edd6fc25001747addde44b4,color-mens-wool-flyer-mizzles-hazy-lime-blizzard,web,product_viewed,2023-07-09T16:05:19.172Z,,,fe7b7be83198d0d7391653e29db25b0b26b84b860deeb2b2bf10509a383d64d3,154.00
51fd5a1a2126b212cb54891eac751631bda521fefb04fd7a31479c74657fd2c7,color-womens-wool-pipers-true-black,web,product_viewed,2023-09-14T14:45:29.659Z,,,ee3ecd466539c0725cccc8e857550bd479c719edbf5c12a0dccf9b094ea8f42f,110.00
4cfeed6d7b15286a435ab41b553832fb76f00182ea714e6c49ce5ce151f4f432,color-womens-tree-breezers-arid-umber-arid-umber,web,product_viewed,2023-08-30T23:35:55.716Z,,,0a15be6b55f452b3ca87ec8b6ce43be0b14b89b4ac0502d70925d3defe601ee8,70.00
86197d06417c7855ed3ff67f048d89a090f1aeaedb7ebfd82bed893838df0d17,color-womens-tree-breezers-lux-beige-lux-camel,web,product_viewed,2023-08-07T14:29:51.853Z,,8.5,1b17f7d0729c77eac0c34f63358cb1a5f3c45758fb868095365e64556143abab,89.00
b9f3eb79049969c8c7f93d5add4bc7ad558826aee63c402e3c1a6e5417d3c31b,color-womens-wool-runners-dark-nz-green,web,product_viewed,2023-01-26T18:25:36.168Z,,5,280043765537fb7093d58a661c653e4c804d553e6340b0c6539b8187ea12c102,99.00
